"","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"97",1117,1152,1182,1239,1356,1448,1572,1721,1838,1966,2121,2261,2425,2518,2560,2668,2828,3014,3163,3302,3455,3581,3736,3932,4149,4334,4502,4772,4995,5217,5458,5756,5995,6229,6569,6932,7362,7751,8111,8482,8763,8985,9297,9702,10224,10565,10770,11001,11461,12113,12649,12689,12405,11662,11087,12132
"98",693,717,744,777,840,916,977,1056,1153,1242,1340,1431,1517,1632,1688,1705,1790,1933,2042,2157,2287,2371,2465,2622,2765,2907,3068,3181,3352,3532,3701,3876,4039,4176,4372,4624,4888,5174,5401,5676,6002,6196,6277,6519,6890,7304,7586,7651,7862,8297,8786,9169,9157,8998,8406,7969
"99",411,434,455,485,518,550,600,637,691,764,829,879,932,994,1062,1095,1114,1193,1283,1363,1465,1552,1619,1687,1784,1892,2024,2133,2173,2291,2430,2573,2656,2752,2864,2977,3175,3343,3506,3691,3906,4109,4215,4294,4479,4776,5099,5201,5281,5524,5851,6155,6374,6424,6282,5862
"100",228,253,268,289,318,333,350,377,398,448,499,529,557,588,621,671,697,717,771,830,886,959,1027,1075,1104,1166,1263,1347,1384,1412,1504,1625,1708,1756,1825,1867,1958,2066,2160,2314,2452,2570,2693,2793,2858,2999,3215,3377,3478,3571,3734,3938,4097,4303,4331,4219
"101",121,131,143,159,180,197,212,219,226,242,273,309,331,340,356,386,415,427,447,471,504,555,608,660,687,699,751,810,851,881,912,981,1053,1096,1123,1155,1184,1241,1295,1367,1488,1576,1628,1724,1810,1854,1957,2081,2196,2259,2323,2431,2554,2691,2793,2793
"102",68,66,74,85,98,111,125,133,129,129,141,169,193,195,198,219,234,243,257,264,271,305,343,376,410,428,439,470,501,524,550,577,611,650,673,685,712,733,762,794,847,920,956,994,1064,1127,1171,1219,1305,1375,1415,1460,1525,1610,1666,1730
"103",37,36,37,42,52,61,67,75,72,67,77,87,102,112,111,122,134,138,143,151,149,156,184,210,231,256,266,268,283,298,314,337,351,366,398,409,402,414,434,458,475,494,527,561,590,637,684,685,734,802,835,860,877,925,973,1013
"104",17,17,18,19,24,31,36,41,41,34,34,43,52,55,58,64,72,75,76,83,85,86,91,109,125,142,154,151,155,163,172,187,200,206,218,232,226,227,235,243,267,273,272,295,324,347,377,385,394,437,475,489,495,511,538,569
"105",8,7,8,10,11,12,16,20,23,20,14,16,24,26,26,30,35,39,40,42,44,46,50,51,57,73,81,80,82,88,90,95,102,111,115,119,130,128,118,122,136,152,151,149,163,180,198,209,212,226,255,269,271,280,288,303
"106",4,4,3,4,5,4,5,8,10,11,9,6,8,12,13,12,16,19,22,23,21,21,25,25,22,32,44,45,41,44,50,48,48,53,60,62,66,66,62,61,67,77,82,82,77,81,98,109,110,119,132,142,145,150,157,163
"107",1,3,2,1,2,2,2,3,4,6,5,4,3,4,7,6,6,8,11,11,11,11,11,12,12,11,17,24,24,22,25,30,26,23,27,32,31,27,30,32,33,35,38,43,44,41,46,55,56,60,71,77,78,78,81,86
"108",0,1,1,1,1,1,1,1,1,2,3,2,1,1,3,3,2,3,5,5,4,5,5,4,5,4,4,8,11,11,10,14,17,15,12,13,16,13,12,15,15,16,19,20,23,25,24,26,29,29,33,40,40,38,40,43
"109",0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,2,2,2,1,1,2,1,1,2,2,2,3,3,4,7,9,8,6,7,7,5,5,5,6,8,10,10,11,12,12,13,15,16,17,18,17,19,20
"110",0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,2,3,4,8,9,7,7,6,3,2,2,3,5,5,4,5,6,9,11,11,12,14,14,13,14
